Algo,avgR,stdR,avgS
hd30,0.052225210745187885,1.7723685883080742,15.360134514670994
hd50,0.060958727216259084,2.0414611261104625,20.8744262930465
hd100,0.0810117508967677,2.4423339639877346,31.243964840411376
hd200,0.081116578251665,2.9758399618839033,45.998978010033284
hd500,0.09417066086703028,3.7187036179515456,75.17360124380768
hd600,0.0976096323257629,3.8920995158001275,82.5624515191847
lv1,0.03833529059387943,1.424603361012107,12.762681064166422
lv2,0.052037715056790175,1.7190969438702093,19.034657039896764
lv3,0.058977061775278665,1.9740647769289765,25.184710898020633
lv5,0.0783373835841605,2.3806758733972844,36.981338635832415
lv7,0.08432108106469198,2.7141559432219937,47.80616068809087
lv10,0.08732682734968011,3.096323279318383,60.29859356818029
lv20,0.08996675867687812,3.682323137208393,77.89134473306181
DRL agent,0.2724383589969212,1.1825612306856679,11.267099256772251
